Publisher Name,Series Name,Volume,Full Title,Title,Issue Number,Release Date,Box,Proposed Box,Event,In Collection,In Wish List,Pull,Marked Read,Copies Owned,My Rating,Media Format,Price Paid,Date Purchased,Condition,Notes,Tags,Storage Box,Owner,Purchase Store,Signature,Slabbing,Grading,Grading Company,Equivalant Comic Book Size Per Issue,Equivalant Comic Book Size,Story Arc,Image Link
Amalgam Comics,JLX (1996),1,JLX #1,JLX,1,2/28/1996,4,16,,1,0,0,0,1,,Print,,,,,,,,,,,,,1,1,,
Amalgam Comics,The Magnetic Men featuring Magneto (1997),1,The Magnetic Men featuring Magneto #1,The Magnetic Men featuring Magneto,1,4/2/1997,4,16,,1,0,0,0,1,,Print,,,,,,,,,,,,,1,1,,
Amalgam Comics,X-Patrol (1996),1,X-Patrol #1,X-Patrol,1,2/28/1996,4,16,,1,0,0,0,1,,Print,,,,,,,,,,,,,1,1,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #1,Aliens / Predator: The Deadliest of the Species,1,7/1/1993,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #2,Aliens / Predator: The Deadliest of the Species,2,9/1/1993,8,16,,1,0,0,0,1,,Print,,,,,,,,,,,,,1,1,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #3,Aliens / Predator: The Deadliest of the Species,3,11/1/1993,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #4,Aliens / Predator: The Deadliest of the Species,4,1/1/1994,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #5,Aliens / Predator: The Deadliest of the Species,5,3/1/1994,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #6,Aliens / Predator: The Deadliest of the Species,6,5/1/1994,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #7,Aliens / Predator: The Deadliest of the Species,7,8/1/1994,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #8,Aliens / Predator: The Deadliest of the Species,8,10/25/1994,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #9,Aliens / Predator: The Deadliest of the Species,9,12/1/1994,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #10,Aliens / Predator: The Deadliest of the Species,10,2/1/1995,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #11,Aliens / Predator: The Deadliest of the Species,11,5/1/1995,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,Aliens / Predator: The Deadliest of the Species #12,Aliens / Predator: The Deadliest of the Species,12,8/1/1995,,,,0,1,0,0,0,,Print,,,,,,,,,,,,,1,0,,
Dark Horse Comics,Tales From The Secret Shop Are We Heroes Yet? (2014),1,Tales From The Secret Shop Are We Heroes Yet? #1,Tales From The Secret Shop Are We Heroes Yet?,1,1/1/2014,,16,,1,0,0,0,1,,Print,,,,,,,,,,,,,1,1,,https://drive.google.com/file/d/1a3uMHgP3_04BlmZ-0h8hdYfAPCfLWntc/view?usp=drive_link
DC Comics,"Action Comics #1, 50th Anniversary Reprint (1988)",1,Action Comics #1 (50th Anniversary 50 cent White Box Edition),Action Comics,1,6/1/1988,3,16,,1,0,0,1,1,,Print,,,,,,,,,,,,,1,1,,
DC Comics,Action Comics (Vol. 1) (1938 - 2011),1,Action Comics #587,Action Comics,587,1/6/1987,3,16,,1,0,0,0,1,,Print,,,,,,,,,,,,,1,1,,
DC Comics,Atari Force (Vol. 2) (1984 - 1985),2,Atari Force #8,Atari Force,8,4/17/1984,3,16,,1,0,0,0,1,,Print,,,,,,,,,,,,,1,1,,
