Publisher Name,Series Name,Volume,Issue Count
Amalgam Comics,JLX (1996),1,1
Amalgam Comics,The Magnetic Men featuring Magneto (1997),1,1
Amalgam Comics,X-Patrol (1996),1,1
Dark Horse Comics,Aliens / Predator: The Deadliest of the Species (1993 - 1995),1,12
Dark Horse Comics,Tales From The Secret Shop Are We Heroes Yet? (2014),1,1
DC Comics,Action Comics (Vol. 1) (1938 - 2011),1,919
DC Comics,"Action Comics #1, 50th Anniversary Reprint (1988)",1,1
DC Comics,Atari Force (Vol. 2) (1984 - 1985),2,20
DC Comics,DC Versus Marvel/Marvel Versus DC (1995 - 1996),1,4
DC Comics,Forgotten Realms (1989 - 1991),1,25
DC Comics,Green Lantern (Vol. 2) (1960 - 1986),2,200
DC Comics,Sovereign Seven (1994 - 1998),1,38
DC Comics,Superman (Vol. 2) (1986 - 2006),2,240
DC Comics,The Flash (Vol. 5) (2016 - 2023),5,144
DC Comics,The New Adventures of Superboy (1980 - 1984),1,54
Defiant Comics,Charlemagne (1994),1,6
Defiant Comics,Dark Dominion (1993 - 1994),1,11
Defiant Comics,Warriors of Plasm (1993 - 1994),1,13
Eagle Comics,The Stainless Steel Rat (1985),1,6
Image Comics,Badrock / Wolverine (1996),1,1
Image Comics,Bone (1996 - 1999),1,27
Image Comics,Cyberpunx (1996),1,1
Image Comics,Hellshock (Vol. 2) (1997 - 1998),2,3
Image Comics,StormWatch (Vol. 1) (1993 - 1997),1,54
Image Comics,StormWatch Sourcebook (1994),1,1
Image Comics,Wetworks (Vol. 1) (1994 - 1998),1,43
Image Comics,WildC.A.T.s: Covert Action Teams (Vol. 1) (1992 - 1998),1,53
Malibu Comics,The Night Man / Gambit (1996),1,3
Marvel Comics,2099 A.D. Genesis (1996),1,1
Marvel Comics,2099: World of Tomorrow (1996 - 1997),1,8
Marvel Comics,Age of Apocalypse: The Chosen (1995),1,1
Marvel Comics,Air Raiders (Vol. 1) (1987 - 1988),1,5
Marvel Comics,ALF (1988 - 1992),1,56
Marvel Comics,Alpha Flight (Vol. 1) (1983 - 1993),1,132
Marvel Comics,Amazing Adventures (1979 - 1981),1,14
Marvel Comics,Animax (Vol. 1) (1986 - 1987),1,4
Marvel Comics,Archangel (1996),1,1
Marvel Comics,Askani'son (1996),1,4
Marvel Comics,Avengers Spotlight (1989 - 1991),1,20
Marvel Comics,Black Knight: Exodus (1996),1,1
Marvel Comics,Black Panther (Vol. 2) (1988),2,4
Marvel Comics,Blink (2000 - 2001),1,4
Marvel Comics,Cable (Vol. 1) (1993 - 2002),1,110
Marvel Comics,Cable: Blood & Metal (Vol. 1) (1992),1,2
Marvel Comics,Cage (Vol. 1) (1992 - 1993),1,20
Marvel Comics,Captain America (Vol. 1) (1968 - 1996),1,368
Marvel Comics,Captain America (Vol. 2) (1996 - 1997),2,13
Marvel Comics,Captain Marvel (1989),1,1
Marvel Comics,Chuck Norris Karate Kommandos (1987),1,4
Marvel Comics,ClanDestine (Vol. 2) (2008),2,5
Marvel Comics,Classic X-Men (1986 - 1990),1,45
Marvel Comics,Cloak and Dagger (Vol. 2) (1985 - 1987),2,11
Marvel Comics,Cosmic Powers (1994),1,6
Marvel Comics,Cosmic Powers Unlimited Starring The Silver Surfer (1995 - 1996),1,5
Marvel Comics,Damage Control (Vol. 1) (1989),1,4
Marvel Comics,Damage Control (Vol. 2) (1989),2,4
Marvel Comics,Daredevil (Vol. 1) (1964 - 1998),1,391
Marvel Comics,Darkhawk (Vol. 1) (1991 - 1995),1,53
Marvel Comics,Dazzler (Vol. 1) (1980 - 1986),1,42
Marvel Comics,Death Metal (1993 - 1994),1,4
Marvel Comics,Deathlok (Vol. 2) (1991 - 1994),2,36
Marvel Comics,Doctor Strange (Vol. 2) (1974 - 1987),2,83
Marvel Comics,"Doctor Strange, Sorcerer Supreme (1988 - 1996)",1,93
Marvel Comics,Doom 2099 (Vol. 1) (1993 - 1996),1,44
Marvel Comics,Excalibur: Air Apparent (1991),1,1
Marvel Comics,Elektra (Vol. 1) (1996 - 1998),1,20
Marvel Comics,Excalibur (Vol. 1) (1988 - 1998),1,128
Marvel Comics,Excalibur Special Edition (1987),1,1
Marvel Comics,Excalibur: Air Apparent (1991),1,1
Marvel Comics,Excalibur: Mojo Mayhem (1989),1,1
Marvel Comics,Excalibur: The Possession (1991),1,1
Marvel Comics,Excalibur: XX Crossing (1992),1,1
Marvel Comics,Factor-X (1995),1,4
Marvel Comics,Fallen Angels (Vol. 1) (1987),1,8
Marvel Comics,Fantastic Four (Vol. 1) (1961 - 1996),1,443
Marvel Comics,Fantastic Four (Vol. 2) (1996 - 1997),2,13
Marvel Comics,Fantastic Four (Vol. 3) (1998 - 2012),3,179
Marvel Comics,Fantastic Four 2099 (Vol. 1) (1996),1,8
Marvel Comics,Fantastic Four vs. The X-Men (1987),1,4
Marvel Comics,Fred Hembeck Destroys the Marvel Universe (1989),1,1
Marvel Comics,Gambit (Vol. 1) (1993 - 1994),1,4
Marvel Comics,Gambit and the X-Ternals (1995),1,4
Marvel Comics,Generation Next (1995),1,4
Marvel Comics,Generation X (Vol. 1) (1994 - 2001),1,82
Marvel Comics,Generation X Collectors' Preview (1994),1,1
Marvel Comics,Ghost Rider (Vol. 2) (1990 - 2007),2,96
Marvel Comics,Green Goblin (1995 - 1996),1,13
Marvel Comics,Guardians of the Galaxy (Vol. 1) (1990 - 1995),1,66
Marvel Comics,Havok & Wolverine: Meltdown (1989),1,4
Marvel Comics,Hercules: Prince of Power (Vol. 2) (1984),2,4
Marvel Comics,Heroes Reborn: The Return (1997),1,1
Marvel Comics,Iceman (Vol. 1) (1984 - 1985),1,4
Marvel Comics,Incredible Hulk: Hercules Unleashed (1996),1,1
Marvel Comics,Iron Man (Vol. 1) (1968 - 1996),1,351
Marvel Comics,Iron Man (Vol. 2) (1996 - 1997),2,13
Marvel Comics,Iron Man: The Legend (1996),1,1
Marvel Comics,Journey Into Mystery (Vol. 3) (1996 - 1998),3,20
Marvel Comics,Krull (Vol. 1) (1983),1,2
Marvel Comics,Logan: Path of the Warlord (1996),1,1
Marvel Comics,Magneto (Vol. 1) (1996 - 1997),1,4
Marvel Comics,Marc Spector: Moon Knight (1989 - 1994),1,60
Marvel Comics,Marvel Action Universe (1989),1,1
Marvel Comics,Marvel Age (Vol. 1) (1983 - 1994),1,144
Marvel Comics,Marvel Comics Presents (Vol. 1) (1988 - 1995),1,175
Marvel Comics,Marvel Fanfare (Vol. 2) (1996 - 1997),2,6
Marvel Comics,Marvel Super Hero Contest of Champions (1982),1,3
Marvel Comics,Marvel Super Heroes Secret Wars (1984),1,12
Marvel Comics,Marvel Tales (Vol. 2) (1964 - 1994),2,291
Marvel Comics,Marvel Team-Up (Vol. 1) (1972 - 1985),1,157
